tratto	data	cambiamento
10	2015-08-13	0.08
11	2015-08-13	0.053
12	2015-08-13	0.002
13	2015-08-13	0.017
14	2015-08-13	0.029
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	0.011
2	2015-09-12	0.007
3	2015-09-12	0.009
4	2015-09-12	0.008
5	2015-09-12	0.012
6	2015-09-12	0.003
7	2015-09-12	0.005
8	2015-09-12	0.008
9	2015-09-12	nan
10	2015-09-12	0.044
11	2015-09-12	0.025
12	2015-09-12	0.0
13	2015-09-12	0.005
14	2015-09-12	0.01
15	2015-09-12	0.009
16	2015-09-12	0.008
17	2015-09-12	0.025
18	2015-09-12	0.013
19	2015-09-12	0.031
20	2015-09-12	0.017
21	2015-09-12	0.097
22	2015-09-12	0.025
23	2015-09-12	0.001
1	2015-10-22	0.024
2	2015-10-22	0.022
3	2015-10-22	0.02
4	2015-10-22	0.012
5	2015-10-22	0.025
6	2015-10-22	0.014
7	2015-10-22	0.009
8	2015-10-22	0.012
9	2015-10-22	nan
10	2015-10-22	0.061
11	2015-10-22	0.033
12	2015-10-22	0.001
13	2015-10-22	0.005
14	2015-10-22	0.01
15	2015-10-22	0.003
16	2015-10-22	0.004
17	2015-10-22	0.014
18	2015-10-22	0.01
19	2015-10-22	0.026
20	2015-10-22	0.012
21	2015-10-22	0.1
22	2015-10-22	0.011
23	2015-10-22	0.001
1	2016-09-13	0.007
2	2016-09-13	0.016
3	2016-09-13	0.014
4	2016-09-13	0.008
5	2016-09-13	0.03
6	2016-09-13	0.012
7	2016-09-13	0.007
8	2016-09-13	0.011
9	2016-09-13	nan
10	2016-09-13	0.037
11	2016-09-13	0.015
12	2016-09-13	0.0
13	2016-09-13	0.003
14	2016-09-13	0.008
15	2016-09-13	0.002
16	2016-09-13	0.001
17	2016-09-13	0.014
18	2016-09-13	0.008
19	2016-09-13	0.017
20	2016-09-13	0.009
21	2016-09-13	0.081
22	2016-09-13	0.008
23	2016-09-13	0.0
1	2017-04-21	0.004
2	2017-04-21	0.007
3	2017-04-21	0.008
4	2017-04-21	0.003
5	2017-04-21	0.007
6	2017-04-21	0.006
7	2017-04-21	0.005
8	2017-04-21	0.007
9	2017-04-21	nan
10	2017-04-21	0.031
11	2017-04-21	0.013
12	2017-04-21	0.0
13	2017-04-21	0.002
14	2017-04-21	0.006
15	2017-04-21	0.001
16	2017-04-21	0.0
17	2017-04-21	0.009
18	2017-04-21	0.004
19	2017-04-21	0.013
20	2017-04-21	0.005
21	2017-04-21	0.06
22	2017-04-21	0.002
23	2017-04-21	0.0
1	2017-06-13	0.002
2	2017-06-13	0.004
3	2017-06-13	0.005
4	2017-06-13	0.001
5	2017-06-13	0.004
6	2017-06-13	0.006
7	2017-06-13	0.009
8	2017-06-13	0.013
9	2017-06-13	nan
10	2017-06-13	0.05
11	2017-06-13	0.067
12	2017-06-13	0.0
13	2017-06-13	0.012
14	2017-06-13	0.012
15	2017-06-13	0.0
16	2017-06-13	0.0
17	2017-06-13	0.001
18	2017-06-13	0.001
19	2017-06-13	0.002
20	2017-06-13	0.001
21	2017-06-13	0.015
22	2017-06-13	0.0
23	2017-06-13	0.0
1	2018-06-15	nan
2	2018-06-15	nan
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	nan
7	2018-06-15	0.012
8	2018-06-15	0.019
9	2018-06-15	nan
10	2018-06-15	0.049
11	2018-06-15	0.066
12	2018-06-15	0.0
13	2018-06-15	0.016
14	2018-06-15	0.016
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	0.003
2	2018-09-16	0.006
3	2018-09-16	0.005
4	2018-09-16	0.002
5	2018-09-16	0.005
6	2018-09-16	0.009
7	2018-09-16	0.014
8	2018-09-16	0.024
9	2018-09-16	nan
10	2018-09-16	0.079
11	2018-09-16	0.087
12	2018-09-16	0.001
13	2018-09-16	0.014
14	2018-09-16	0.015
15	2018-09-16	0.001
16	2018-09-16	0.0
17	2018-09-16	0.001
18	2018-09-16	0.001
19	2018-09-16	0.002
20	2018-09-16	0.003
21	2018-09-16	0.015
22	2018-09-16	0.0
23	2018-09-16	0.0
