Tratto	Eta	Perc_erosa_su_tot_isole
1	4.01	39.47
1	5.94	4.21
1	6.95	2.63
2	4.01	30.45
2	5.10	0.35
2	5.94	2.77
2	6.95	0.52
2	9.18	1.38
2	9.97	1.90
2	12.91	0.35
3	4.01	11.64
3	5.10	0.36
3	5.94	0.36
4	4.01	29.22
4	5.94	7.79
4	6.95	0.65
5	4.01	10.82
5	5.10	0.22
5	5.94	1.77
5	8.17	0.22
5	9.97	0.44
5	11.15	0.22
6	4.01	54.19
6	5.94	0.70
6	9.97	0.23
6	12.91	0.23
7	4.01	27.71
7	5.10	0.43
7	5.94	2.74
7	8.17	0.14
7	9.97	0.87
7	11.15	0.14
7	12.91	1.15
7	16.98	0.14
8	4.01	24.04
8	5.10	1.28
8	5.94	8.07
8	6.95	0.55
8	8.17	0.37
8	9.97	0.73
8	11.15	0.18
8	12.91	0.55
8	16.98	0.37
9	4.01	5.17
9	5.94	2.99
9	6.95	0.91
9	8.17	0.09
9	9.97	0.91
9	11.15	0.27
9	12.03	0.18
9	12.91	5.44
9	16.98	1.36
10	4.01	22.36
10	5.10	0.22
10	5.94	8.95
10	6.95	1.00
10	8.17	0.56
10	9.97	1.67
10	11.15	0.28
10	12.03	0.06
10	12.91	0.17
11	4.01	9.71
11	5.10	0.39
11	5.94	10.31
11	6.95	2.81
11	8.17	1.49
11	9.18	0.17
11	9.97	1.99
11	11.15	0.11
11	12.03	0.39
11	12.91	1.16
11	16.98	0.22
12	4.01	10.34
12	5.10	3.45
12	6.95	13.79
12	8.17	3.45
12	11.15	6.90
13	4.01	11.94
13	5.10	1.17
13	5.94	12.88
13	6.95	0.94
13	8.17	1.41
13	9.18	0.47
13	9.97	1.64
13	11.15	0.94
13	12.03	0.23
13	12.91	1.41
14	4.01	15.08
14	5.10	2.00
14	5.94	9.66
14	6.95	1.18
14	8.17	1.53
14	9.18	0.71
14	9.97	0.59
14	11.15	0.82
14	12.91	0.35
15	4.01	6.80
15	5.10	1.33
15	5.94	6.47
15	6.95	0.83
15	8.17	1.66
15	9.97	8.46
15	11.15	0.33
15	15.25	0.50
15	16.98	4.98
16	4.01	7.89
16	5.10	2.63
16	5.94	7.24
16	6.95	3.29
16	8.17	6.91
16	9.97	8.22
16	11.15	1.97
16	12.91	0.66
16	16.98	0.33
17	4.01	11.11
17	5.10	2.31
17	5.94	8.60
17	6.95	1.05
17	8.17	0.21
17	9.18	0.42
17	9.97	0.84
18	4.01	8.39
18	5.10	0.67
18	5.94	5.70
18	6.95	0.50
18	9.18	0.34
18	9.97	2.52
18	11.15	2.68
18	12.91	0.17
18	14.22	1.85
18	15.25	0.34
18	16.98	0.34
19	4.01	7.13
19	5.10	0.35
19	5.94	3.87
19	6.95	0.26
19	8.17	0.62
19	9.18	0.09
19	9.97	0.88
19	11.15	0.62
19	14.22	0.09
19	16.98	0.18
20	4.01	3.85
20	5.94	8.08
20	6.95	1.15
20	8.17	2.31
20	9.18	1.54
20	9.97	1.92
20	11.15	0.77
21	4.01	5.12
21	5.10	0.36
21	5.94	2.50
21	6.95	0.15
21	8.17	0.71
21	9.18	0.03
21	9.97	1.22
21	12.03	0.24
21	12.91	0.60
21	14.22	0.06
21	16.98	1.07
22	4.01	5.42
22	5.10	1.36
22	5.94	14.92
22	6.95	2.71
22	8.17	2.71
22	9.18	0.34
22	9.97	4.07
