tratto	data	larghezza
19	2009-07-08	726.17
20	2009-07-08	636.14
21	2009-07-08	660.59
22	2009-07-08	476.18
23	2009-07-08	216.63
1	2010-09-29	351.94
2	2010-09-29	399.1
3	2010-09-29	437.61
4	2010-09-29	436.45
5	2010-09-29	498.13
6	2010-09-29	669.87
7	2010-09-29	819.22
8	2010-09-29	885.03
9	2010-09-29	949.78
10	2010-09-29	815.01
11	2010-09-29	603.92
12	2010-09-29	315.33
13	2010-09-29	536.44
14	2010-09-29	799.69
15	2010-09-29	899.12
16	2010-09-29	742.7
17	2010-09-29	873.57
18	2010-09-29	805.51
19	2010-09-29	730.17
20	2010-09-29	628.03
21	2010-09-29	677.64
22	2010-09-29	499.95
23	2010-09-29	222.22
1	2011-10-02	358.14
2	2011-10-02	405.31
3	2011-10-02	435.72
4	2011-10-02	426.24
5	2011-10-02	497.11
6	2011-10-02	676.32
7	2011-10-02	821.65
8	2011-10-02	908.23
9	2011-10-02	959.97
10	2011-10-02	813.45
11	2011-10-02	600.08
12	2011-10-02	312.65
13	2011-10-02	543.13
14	2011-10-02	806.6
15	2011-10-02	916.26
16	2011-10-02	758.67
17	2011-10-02	901.4
18	2011-10-02	834.07
19	2011-10-02	749.7
20	2011-10-02	651.7
21	2011-10-02	692.68
22	2011-10-02	514.44
23	2011-10-02	240.38
1	2012-08-01	318.89
2	2012-08-01	378.35
3	2012-08-01	429.32
4	2012-08-01	412.19
5	2012-08-01	486.41
6	2012-08-01	664.84
7	2012-08-01	795.74
8	2012-08-01	900.8
9	2012-08-01	947.46
10	2012-08-01	805.51
11	2012-08-01	566.83
12	2012-08-01	304.73
13	2012-08-01	532.42
14	2012-08-01	779.53
15	2012-08-01	874.03
16	2012-08-01	741.54
17	2012-08-01	867.93
18	2012-08-01	808.39
19	2012-08-01	732.21
20	2012-08-01	625.27
21	2012-08-01	655.14
22	2012-08-01	471.55
23	2012-08-01	189.71
1	2013-09-05	338.95
2	2013-09-05	398.47
3	2013-09-05	436.71
4	2013-09-05	423.81
5	2013-09-05	498
6	2013-09-05	693.67
7	2013-09-05	820.34
8	2013-09-05	918.9
9	2013-09-05	959.79
10	2013-09-05	815.43
11	2013-09-05	584.71
12	2013-09-05	315.33
