Tratto	Eta	Perc_erosa_su_tot_isole
1	3.15	1.68
1	3.75	3.02
1	4.64	4.03
1	4.75	1.34
1	5.76	0.34
2	3.75	0.35
2	4.64	2.43
3	3.15	3.08
3	3.75	2.31
3	4.64	0.38
3	4.75	0.38
3	6.77	0.38
3	8.70	1.15
3	9.71	0.38
3	10.94	0.77
3	11.95	0.38
4	3.15	4.17
4	3.75	1.39
5	3.15	0.69
5	3.75	2.08
5	4.64	0.35
6	3.15	3.42
6	3.75	9.13
6	4.64	13.31
6	4.75	1.52
6	5.62	1.90
6	5.76	0.38
6	6.77	0.38
6	8.70	0.38
6	10.94	0.38
7	3.15	2.92
7	3.75	5.51
7	4.64	9.24
7	4.75	2.76
7	5.62	2.11
7	5.76	0.49
7	6.77	0.16
7	8.70	1.13
7	12.73	0.49
7	15.67	1.46
7	19.75	0.32
8	3.15	2.02
8	3.75	4.04
8	4.64	9.29
8	4.75	2.22
8	4.84	0.20
8	5.62	1.62
8	5.76	0.20
8	6.77	0.20
8	8.70	0.81
8	10.94	0.20
8	12.73	0.61
8	13.92	2.22
8	15.67	0.40
9	3.15	0.52
9	3.75	2.49
9	4.64	3.85
9	4.75	0.42
9	4.84	0.21
9	5.62	1.46
9	8.70	0.10
9	9.71	0.10
9	10.94	0.21
9	12.73	0.94
9	13.92	0.21
9	15.67	0.31
10	3.15	4.08
10	3.75	1.86
10	4.64	4.20
10	4.75	0.06
10	4.84	0.06
10	5.62	1.26
10	6.77	0.42
10	8.70	0.36
10	9.71	0.06
10	10.94	0.12
10	12.73	1.14
11	3.15	1.88
11	3.75	1.03
11	4.64	4.28
11	4.84	0.23
11	5.62	0.34
11	6.77	0.17
11	7.87	0.06
11	8.70	0.11
11	9.71	0.06
11	10.94	0.11
11	12.73	0.23
11	13.92	0.11
11	14.79	0.11
11	15.67	0.11
11	19.75	0.11
12	3.75	45.45
12	4.64	27.27
13	3.15	1.40
13	3.75	2.46
13	4.64	5.61
13	4.75	0.35
13	5.62	8.77
13	8.70	2.46
13	9.71	0.70
13	10.94	2.81
13	12.73	2.81
13	13.92	1.75
14	3.15	1.22
14	3.75	1.92
14	4.64	6.45
14	4.75	0.35
14	5.62	3.31
14	5.76	0.35
14	8.70	0.52
14	9.71	0.35
14	10.94	0.52
14	11.95	0.17
14	12.73	1.05
14	13.92	1.92
14	15.67	0.35
14	18.01	0.17
15	3.15	4.93
15	3.75	4.35
15	4.64	1.45
15	4.75	1.45
15	5.76	0.58
15	6.77	0.58
15	7.87	0.29
15	8.70	0.87
15	9.71	0.29
15	12.73	2.03
15	19.75	6.67
16	3.15	1.79
16	3.75	6.73
16	4.64	2.24
16	4.75	4.48
16	10.94	1.35
16	12.73	0.90
16	14.79	0.45
17	3.15	1.74
17	3.75	3.78
17	4.64	2.62
17	4.75	1.16
17	6.77	0.29
17	7.87	0.29
17	8.70	4.36
17	9.71	0.58
17	10.94	0.29
17	11.95	0.58
17	12.73	4.07
18	3.15	7.52
18	3.75	1.63
18	4.64	1.96
18	6.77	0.33
18	8.70	3.27
18	9.71	0.33
18	10.94	0.33
18	12.73	0.33
18	13.92	0.98
18	15.67	0.33
18	16.99	1.63
18	18.01	0.98
19	3.15	0.23
19	3.75	0.90
19	4.64	0.45
19	4.75	0.56
19	8.70	1.24
19	10.94	0.11
19	11.95	0.23
19	12.73	1.24
19	13.92	1.13
19	15.67	0.11
19	19.75	0.45
20	3.15	2.45
20	3.75	0.98
20	4.64	0.98
20	12.73	0.49
20	13.92	0.49
21	3.15	0.15
21	3.75	0.27
21	4.64	0.19
21	4.75	0.08
21	8.70	0.08
21	12.73	0.27
21	14.79	0.30
21	15.67	0.08
21	19.75	0.11
22	3.15	0.43
22	3.75	1.72
22	4.64	0.43
22	4.75	0.43
