tratto	data	cambiamento
11	2015-08-13	0.182
12	2015-08-13	0.585
13	2015-08-13	0.236
14	2015-08-13	0.045
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	0.19
2	2015-09-12	0.398
3	2015-09-12	0.125
4	2015-09-12	0.341
5	2015-09-12	0.129
6	2015-09-12	0.358
7	2015-09-12	0.315
8	2015-09-12	0.271
9	2015-09-12	nan
10	2015-09-12	0.198
11	2015-09-12	0.136
12	2015-09-12	0.326
13	2015-09-12	0.183
14	2015-09-12	0.171
15	2015-09-12	0.462
16	2015-09-12	0.317
17	2015-09-12	0.27
18	2015-09-12	0.214
19	2015-09-12	0.43
20	2015-09-12	0.123
21	2015-09-12	0.301
22	2015-09-12	0.297
23	2015-09-12	0.529
1	2015-10-22	0.25
2	2015-10-22	0.278
3	2015-10-22	0.254
4	2015-10-22	0.194
5	2015-10-22	0.072
6	2015-10-22	0.168
7	2015-10-22	0.113
8	2015-10-22	0.112
9	2015-10-22	nan
10	2015-10-22	0.102
11	2015-10-22	0.144
12	2015-10-22	0.252
13	2015-10-22	0.144
14	2015-10-22	0.223
15	2015-10-22	0.26
16	2015-10-22	0.077
17	2015-10-22	0.08
18	2015-10-22	0.049
19	2015-10-22	0.128
20	2015-10-22	0.0
21	2015-10-22	0.157
22	2015-10-22	0.415
23	2015-10-22	0.752
1	2016-09-13	0.089
2	2016-09-13	0.014
3	2016-09-13	0.057
4	2016-09-13	0.169
5	2016-09-13	0.128
6	2016-09-13	0.206
7	2016-09-13	0.161
8	2016-09-13	0.159
9	2016-09-13	nan
10	2016-09-13	0.151
11	2016-09-13	0.103
12	2016-09-13	0.105
13	2016-09-13	0.128
14	2016-09-13	0.134
15	2016-09-13	0.151
16	2016-09-13	0.104
17	2016-09-13	0.257
18	2016-09-13	0.227
19	2016-09-13	0.227
20	2016-09-13	0.137
21	2016-09-13	0.157
22	2016-09-13	0.046
23	2016-09-13	0.0
1	2017-04-21	0.117
2	2017-04-21	0.102
3	2017-04-21	0.296
4	2017-04-21	0.359
5	2017-04-21	0.205
6	2017-04-21	0.29
7	2017-04-21	0.119
8	2017-04-21	0.113
9	2017-04-21	nan
10	2017-04-21	0.29
11	2017-04-21	0.179
12	2017-04-21	0.274
13	2017-04-21	0.137
14	2017-04-21	0.152
15	2017-04-21	0.379
16	2017-04-21	0.197
17	2017-04-21	0.294
18	2017-04-21	0.297
19	2017-04-21	0.134
20	2017-04-21	0.248
21	2017-04-21	0.276
22	2017-04-21	0.503
23	2017-04-21	0.56
1	2017-06-13	0.308
2	2017-06-13	0.598
3	2017-06-13	0.244
4	2017-06-13	0.299
5	2017-06-13	0.238
6	2017-06-13	0.304
7	2017-06-13	0.147
8	2017-06-13	0.16
9	2017-06-13	nan
10	2017-06-13	0.076
11	2017-06-13	0.079
12	2017-06-13	0.52
13	2017-06-13	0.353
14	2017-06-13	0.32
15	2017-06-13	0.338
16	2017-06-13	0.303
17	2017-06-13	0.396
18	2017-06-13	0.436
19	2017-06-13	0.304
20	2017-06-13	0.344
21	2017-06-13	0.295
22	2017-06-13	0.181
23	2017-06-13	0.412
1	2018-06-15	nan
2	2018-06-15	nan
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	0.184
7	2018-06-15	0.331
8	2018-06-15	0.246
9	2018-06-15	nan
10	2018-06-15	0.209
11	2018-06-15	0.223
12	2018-06-15	0.286
13	2018-06-15	0.301
14	2018-06-15	0.254
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	0.073
2	2018-09-16	0.019
3	2018-09-16	0.052
4	2018-09-16	0.041
5	2018-09-16	0.03
6	2018-09-16	0.373
7	2018-09-16	0.539
8	2018-09-16	0.573
9	2018-09-16	nan
10	2018-09-16	0.3
11	2018-09-16	0.32
12	2018-09-16	0.347
13	2018-09-16	0.541
14	2018-09-16	0.5
15	2018-09-16	0.223
16	2018-09-16	0.152
17	2018-09-16	0.104
18	2018-09-16	0.126
19	2018-09-16	0.075
20	2018-09-16	0.03
21	2018-09-16	0.037
22	2018-09-16	0.018
23	2018-09-16	0.0
