om_tr_1	area_tr_1	om_tr_2	area_tr_2	om_tr_3	area_tr_3	om_tr_4	area_tr_4	om_tr_5	area_tr_5	om_tr_6	area_tr_6	om_tr_7	area_tr_7	om_tr_8	area_tr_8	om_tr_9	area_tr_9	om_tr_10	area_tr_10	om_tr_11	area_tr_11	om_tr_12	area_tr_12	om_tr_13	area_tr_13	om_tr_14	area_tr_14	om_tr_15	area_tr_15	om_tr_16	area_tr_16	om_tr_17	area_tr_17	om_tr_18	area_tr_18	om_tr_19	area_tr_19	om_tr_20	area_tr_20	om_tr_21	area_tr_21	om_tr_22	area_tr_22	om_tr_23	area_tr_23
0.0691655	0.028362	0.0611162	0.0224011	0.0983694	0.00982928	0.102659	0.0398387	0.0815737	0.0255247	0.0599584	0.0172069	0.0519429	0.0821855	0.0469915	0.0416294	nan	nan	0.0267223	0.16626	0.0362241	0.232911	0.0736355	0.0151144	0.0715196	0.0463568	0.0481584	0.0867321	0.0423946	0.0697053	0.051201	0.0331997	0.0362534	0.0199516	0.0391797	0.0276064	0.0435889	0.111355	0.0501437	0.0635348	0.0386114	0.190437	0.0519894	0.064864	0.111263	0.00263505
0.0776793	0.0322581	0.0654717	0.0639934	0.0998362	0.0243621	0.106158	0.0556645	0.083368	0.0418106	0.0609944	0.0400903	0.0536341	0.126822	0.0473787	0.0798249	nan	nan	0.0269857	0.31151	0.0383485	0.300804	0.0755489	0.0222129	0.0729587	0.0770217	0.0498305	0.119765	0.0444428	0.0796608	0.0523838	0.0442182	0.0376514	0.047511	0.0404247	0.0508229	0.0446305	0.16856	0.0522635	0.100201	0.040824	0.307456	0.0567182	0.104302	0.140983	0.00389538
0.0730827	0.0149841	0.0621652	0.0317617	0.098146	0.0152782	0.103246	0.0252802	0.0814288	0.0268111	0.0584593	0.0196991	0.0520258	0.0745639	0.0464458	0.0509908	nan	nan	0.0266573	0.218011	0.0371763	0.251414	0.0730092	0.0117456	0.0714299	0.0515684	0.0495079	0.097548	0.0432411	0.057025	0.0515177	0.0257427	0.0371931	0.0292497	0.0395396	0.0310367	0.0441667	0.124496	0.051269	0.0568241	0.0396666	0.270645	0.0553479	0.0800206	0.12893	0.00610687
0.0757072	0.0249934	0.0636918	0.0584133	0.100162	0.0289718	0.105229	0.0374332	0.082004	0.0405007	0.0581697	0.0467421	0.0523962	0.0795729	0.0451577	0.0670021	nan	nan	0.0268816	0.315217	0.0376365	0.281294	0.0704139	0.0113281	0.0712066	0.0534084	0.0497031	0.0904731	0.0431806	0.0443643	0.0509661	0.0202141	0.0368251	0.0286006	0.0389313	0.0251913	0.0443077	0.120851	0.0505133	0.0336178	0.038621	0.279012	0.0527967	0.0485453	0.109343	0.0168321
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0550337	0.0619424	0.0508316	0.0659854	0.0444737	0.0483901	nan	nan	0.0257488	0.212407	0.0353954	0.193999	0.0653342	0.0121842	0.0686837	0.0417018	0.0473097	0.0766882	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0546167	0.0841908	0.0509942	0.0832599	0.0443887	0.0659004	nan	nan	0.0262987	0.274283	0.0365972	0.256888	0.0663696	0.0211488	0.0695361	0.0525045	0.0484922	0.080128	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.067029	0.0371137	0.0609874	0.0324717	0.0976164	0.0286575	0.102413	0.0255494	0.0808292	0.0345841	0.0562558	0.0411536	0.0513898	0.0707743	0.0444815	0.0592565	nan	nan	0.026567	0.284537	0.0372643	0.268673	0.0665547	0.0139481	0.069942	0.0443923	0.04911	0.0770275	0.0420356	0.0380392	0.0498318	0.0200243	0.0359491	0.0280957	0.0379238	0.0217029	0.0437083	0.106157	0.0488663	0.0290193	0.0380767	0.239648	0.0515077	0.042523	0.104959	0.00994292
0.0654999	0.0301467	0.0582636	0.020092	0.0959611	0.0232819	0.100875	0.0207125	0.0797763	0.0303065	0.0560611	0.0380126	0.0512078	0.0682294	0.0442438	0.058833	nan	nan	0.0263016	0.268125	0.0363172	0.240146	0.0644808	0.0103339	0.0694189	0.0395079	0.0486726	0.0666945	0.0414095	0.0297272	0.0493456	0.0182552	0.0357704	0.0256264	0.0376612	0.0207712	0.0434006	0.0990645	0.0483609	0.0263534	0.0371077	0.221727	0.0499707	0.0316969	0.0970264	0.00357447
0.0680827	0.0416404	0.0611584	0.0355387	0.0978127	0.0334248	0.102305	0.0221615	0.0808799	0.0358207	0.0563157	0.0467121	0.0514439	0.0734543	0.0444552	0.0614765	nan	nan	0.0267627	0.29059	0.0372948	0.263646	0.0646555	0.0137095	0.0698885	0.0408664	0.0490342	0.0710214	0.0413318	0.0350235	0.0496253	0.021006	0.0357722	0.0274398	0.0375813	0.0222323	0.043453	0.0952889	0.0482891	0.0338406	0.0383455	0.24156	0.0524367	0.0575758	0.103604	0.0169029
0.0678189	0.0483922	0.0615513	0.0599878	0.0973321	0.0286195	0.102198	0.0186759	0.0807218	0.0306266	0.0560069	0.0346576	0.0514258	0.0707739	0.0444671	0.0602041	nan	nan	0.0265261	0.239659	0.0370574	0.24328	0.0643478	0.0112645	0.0698504	0.0396445	0.0488403	0.0688789	0.0402742	0.0295526	0.0491081	0.0187084	0.0354747	0.0248755	0.0374949	0.0196121	0.0435823	0.0988745	0.0481912	0.0322917	0.0382128	0.226398	0.0515881	0.0356332	0.0983319	0.00759013
0.0681257	0.0371949	0.061198	0.0298649	0.0969439	0.0274631	0.101559	0.0176207	0.0798936	0.0273702	0.055855	0.0295537	0.0514181	0.0703125	0.0443148	0.060426	nan	nan	0.0268356	0.290059	0.0372922	0.267375	0.0645424	0.00525143	0.0695319	0.0351211	0.0487903	0.0600679	0.0403271	0.0248275	0.0493852	0.0150053	0.0354592	0.020682	0.0373672	0.0135771	0.0435843	0.0937631	0.0480463	0.0273299	0.0381947	0.215725	0.0514894	0.0419412	0.100872	0.00707839
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0511479	0.0922825	0.0440895	0.0854864	nan	nan	0.026788	0.313678	0.0369121	0.270483	0.0641653	0.0124491	0.0694868	0.0450076	0.0495022	0.0789304	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.0713423	0.0525591	0.0642248	0.0545767	0.0989438	0.0400555	0.102694	0.0313126	0.0807786	0.0437216	0.0562714	0.0643638	0.0515782	0.0793228	0.0440719	0.0725502	nan	nan	0.0270523	0.326119	0.037579	0.276984	0.0650914	0.0133205	0.069581	0.0406323	0.0495529	0.0731892	0.0405325	0.0279619	0.0496439	0.01897	0.0357223	0.034407	0.0374888	0.0225032	0.0442658	0.116863	0.047931	0.0705055	0.0387252	0.278712	0.0537514	0.092005	0.106131	0.0394712
