integrale_piene	giov_tr_1	giov_tr_2	giov_tr_3	giov_tr_4	giov_tr_5	giov_tr_6	giov_tr_7	giov_tr_8	giov_tr_9	giov_tr_10	giov_tr_11	giov_tr_12	giov_tr_13	giov_tr_14	giov_tr_15	giov_tr_16	giov_tr_17	giov_tr_18	giov_tr_19	giov_tr_20	giov_tr_21	giov_tr_22	giov_tr_23	int_tr_1	int_tr_2	int_tr_3	int_tr_4	int_tr_5	int_tr_6	int_tr_7	int_tr_8	int_tr_9	int_tr_10	int_tr_11	int_tr_12	int_tr_13	int_tr_14	int_tr_15	int_tr_16	int_tr_17	int_tr_18	int_tr_19	int_tr_20	int_tr_21	int_tr_22	int_tr_23	mat_tr_1	mat_tr_2	mat_tr_3	mat_tr_4	mat_tr_5	mat_tr_6	mat_tr_7	mat_tr_8	mat_tr_9	mat_tr_10	mat_tr_11	mat_tr_12	mat_tr_13	mat_tr_14	mat_tr_15	mat_tr_16	mat_tr_17	mat_tr_18	mat_tr_19	mat_tr_20	mat_tr_21	mat_tr_22	mat_tr_23
nan	nan	nan	nan	nan	nan	nan	nan	0.0574882	nan	0.0265778	0.031926	0.0578512	0.037788	0	0.0883957	0.127736	0.0461402	0.063605	0.0472038	0.0137498	0.0468575	0.0450067	nan	nan	nan	nan	nan	nan	nan	nan	0.0249233	nan	0.00397147	0.0720283	0.0374332	0.0130805	0.0158717	0.0178139	0.0892872	0.0416487	0.0208431	0.0115624	0.0046584	0.0147728	0.02254	nan	nan	nan	nan	nan	nan	nan	nan	0.027953	nan	0	0.0119183	0	0.0527966	0	0.0192802	0.0409821	0	0.0241061	0.00631836	0.045669	0.00864805	0.0121119	nan
0.7561409	0.502624	0.606674	0.466495	0.598896	0.468017	0.552011	0.557226	0.52687	nan	0.440751	0.275864	0.654321	0.472957	0.327628	0.516682	0.643781	0.432587	0.514461	0.492921	0.524866	0.231591	0.381908	nan	0.849929	0.153315	0.172521	0.502863	0.275089	0.317247	0.406361	0.143779	nan	0.139194	0.115306	0.306713	0.133259	0.180722	0.202846	0.299691	0.266634	0.354537	0.184706	0.350677	0.0563528	0.113115	nan	nan	0.290941	0	0.399264	0.449573	0.190349	0.134698	0.131469	nan	0.0570158	0.0563322	0	0.250795	0.0407782	0.203589	0.205098	0.387241	0.196128	0.033686	0.399497	0.0681651	0.34486	nan
nan	0.0673135	0.0551305	0.0680077	0.203922	0.12228	0.0457692	0.270298	0.0907962	nan	0.0358852	0.0454617	0.502165	0.134314	0.20671	0.471562	0.355919	0.14323	0.344699	0.207792	0.467915	0.12812	0.521701	nan	0.0906863	0.107811	0	0	0.104319	0.0745723	0.462532	0	nan	0.0302603	0.039359	0	0.113382	0.33285	0.297149	0.232996	0.091274	0.383184	0.204401	0.405546	0.0822786	0.418004	nan	0	0.0260833	0	0.030042	0.106637	0	0.0161202	0.0687735	nan	0.00250781	0.0243651	0	0.0731733	0.107976	0.220443	0.291374	0.251303	0.29654	0.113168	0.505381	0.0718188	0.30181	nan
nan	nan	nan	nan	nan	nan	0.411473	0.704977	0.702065	nan	0.67207	0.663838	0.621429	0.747837	0.730617	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0300814	0.215126	0.30835	nan	0.34626	0.46477	0.591837	0.42069	0.315345	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.032867	0.0457746	0.05814	nan	0.0685397	0.0921357	0.138095	0.114199	0.0702259	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.204139	0.190162	0.397523	0.125472	0.34056	0.129303	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.139171	0.277028	0.0231584	0.3896	0.0659218	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.18033	0	0	0.0639785	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.204139	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.462138	0.317052	0.269819	0.214025	0.430142	0.123094	0.300823	0.297154	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.401727	0.314196	0.131607	0.129649	0.173331	0.181564	0.0853548	0.35605	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.14571	0.171879	0.0505542	0.163801	0.0327694	0.117584	0.0711998	0.101511	nan
0.204139	nan	nan	nan	nan	nan	0.0710932	0.157028	0.0334939	nan	0.165497	0.182367	0.585249	0.2361	0.0454378	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0830072	0.169397	0.0205664	nan	0.0398833	0	0	0.186548	0.174799	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.273436	0.0269294	0.100842	nan	0.00682133	0.0340214	0	0.108779	0.120198	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	0.358271	0.314536	0.270618	nan	0.198341	0.136208	0.325532	0.183018	0.171092	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0421826	0.0130116	nan	0.113584	0.0150762	0	0.0896181	0.0709782	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0114301	0.0607753	nan	0.0743896	0.0207941	0.154545	0.055538	0.0291951	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	0.250493	0.277622	0.25362	0.194406	0.0719956	0.168045	0.113086	0.112288	nan	0.102024	0.14363	0.251586	0.144409	0.222707	0.259956	0.076905	0.0798259	0.0489839	0.127877	0	0.157354	0.414822	nan	0.264583	0.370744	0.259526	0.296095	0.214988	0.214957	0.156026	0.0832173	nan	0.117397	0.183376	0	0.110499	0.101803	0.190325	0.395918	0.234489	0.182444	0.2081	0.376337	0.126704	0.361438	nan	0	0.595372	0.0886782	0	0.241905	0.254677	0.0489911	0.0546857	nan	0.0802373	0.0598457	0.276744	0.0773494	0.0560112	0.199033	0.0816015	0	0.113363	0.02869	0.043122	0.0447311	0.185538	nan
nan	0.0890722	0.0142423	0.0567635	0.168525	0.128112	0.205757	0.161285	0.158987	nan	0.150677	0.103005	0.104673	0.127665	0.133805	0.150791	0.103695	0.257309	0.227266	0.22684	0.136688	0.156525	0.0456282	nan	0.215161	0.123374	0.135952	0.293234	0.22279	0.298501	0.288369	0.180143	nan	0.0781847	0.0711336	nan	0.381688	0.15192	0.152299	0.313388	0.201503	0.182256	0.178709	0.169375	0.0554272	0	nan	0	0.0398785	0.126576	0.197066	0.283677	0.0793633	0.0599918	0.157562	nan	0.0353764	0.018057	0.34891	0.0382937	0.0540874	0.133217	0.174104	0.0163149	0.086585	0.0706916	0.0662519	0.0190962	0.108367	nan
nan	0.117117	0.102311	0.295995	0.359066	0.205292	0.289838	0.119113	0.112903	nan	0.289898	0.178692	0.273919	0.137384	0.151884	0.379272	0.197157	0.293613	0.296745	0.133995	0.247503	0.2764	0.503175	nan	0	0	0.105641	0	0.0896366	0.230749	0	0	nan	0.0883585	0.0199176	nan	0	0.0638272	0	0	0.105606	0.130169	0	0	0.040046	0	nan	0	0.0548833	0	0.099117	0.367982	0.10576	0	0.0150538	nan	0.0340392	0	1	0	0	0.0203089	0.0902026	0.0205575	0.0163916	0.00902322	0	0.00404386	0	nan
0.0614688	0.307905	0.597716	0.244321	0.299248	0.237643	0.303759	0.147321	0.160098	nan	0.0756912	0.0786	0.520195	0.353468	0.320079	0.33766	0.302763	0.396192	0.436256	0.303623	0.344069	0.294873	0.181282	nan	0.0545775	0	0.114695	0	0.111268	0.107328	0.0256711	0.0216922	nan	0.00424469	0	0.960362	0.0215154	0.106896	0	nan	0.129599	0.400717	0	0	0.186502	0	nan	0	0.0468326	0.0404807	0	0	0.130888	0.0191241	0	nan	0.00729755	0	0.960362	0.0706935	0.0664465	0.157825	0.0648777	0.084521	0.188642	0.0167408	0.0585939	0.014748	0.0106729	nan
0.1205556	nan	nan	nan	nan	nan	0.184458	0.331366	0.245638	nan	0.209387	0.222632	0.285714	0.300765	0.254431	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0749942	0.157099	0.0690489	nan	0.116992	0.0249301	nan	0.193946	0.162662	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0269367	0.0478514	0.0834864	nan	0.0403543	0.0201416	nan	0.161124	0.0776682	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.1205556	0.0731725	0.0185488	0.0518566	0.0414474	0.0295091	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0443913	0	0.0181296	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.082878	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.1205556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.223347	0.152388	0.103592	0.125561	0.0747107	0.0301151	0.0367181	0.017795	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.633704	nan	0.0811801	0.0361385	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.131914	0.0530668	0.10679	0.0816029	0.0481967	0.00711491	0.0104811	0	nan
nan	nan	nan	nan	nan	nan	0.373361	0.539255	0.573448	nan	0.299988	0.320069	0.346667	0.540663	0.500393	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0399652	0.0122862	nan	0.0150609	0.0145978	0	0.0418578	0.0739673	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0.0414344	0.00635206	nan	0.00176937	0	nan	0.0334862	0.0112018	nan	nan	nan	nan	nan	nan	nan	nan	nan
