Tratto	Eta	Perc_erosa_su_tot_isole
1	5.24	26.81
1	6.02	16.40
1	7.21	1.26
1	8.08	0.95
2	5.24	26.04
2	6.02	17.45
2	8.08	1.11
2	8.96	6.93
3	4.23	40.78
3	5.24	1.94
3	6.02	0.97
4	4.23	8.65
4	6.02	1.08
4	7.21	1.08
4	8.96	1.08
4	13.04	1.08
5	4.23	9.60
5	5.24	3.60
5	6.02	6.80
5	7.21	0.40
5	8.08	1.20
5	8.96	0.40
6	4.23	11.70
6	5.24	1.06
6	6.02	2.13
7	4.23	9.53
7	5.24	2.79
7	6.02	10.58
7	7.21	0.12
7	8.08	0.35
7	8.96	1.16
7	13.04	0.93
8	4.23	10.62
8	5.24	2.07
8	6.02	6.99
8	7.21	1.04
8	8.08	0.52
8	8.96	5.44
8	13.04	2.85
9	4.23	2.23
9	6.02	1.52
9	7.21	0.18
9	8.96	0.36
10	4.23	5.88
10	5.24	0.33
10	6.02	4.90
10	7.21	0.44
11	4.23	5.70
11	5.24	0.25
11	6.02	4.25
11	7.21	0.25
11	8.08	0.44
11	8.96	2.15
11	13.04	1.20
12	4.23	35.06
12	5.24	7.79
12	6.02	22.08
12	7.21	1.30
13	4.23	9.44
13	5.24	0.83
13	6.02	1.67
13	7.21	0.56
13	8.96	2.22
13	10.28	0.28
14	4.23	18.46
14	5.24	2.79
14	6.02	2.79
14	7.21	1.20
14	8.08	0.20
14	8.96	0.10
15	4.23	14.42
15	5.24	0.52
15	6.02	4.06
15	7.21	0.95
15	8.08	0.43
15	8.96	0.09
15	10.28	0.09
15	13.04	3.37
16	4.23	21.39
16	5.24	1.20
16	6.02	12.50
16	7.21	0.30
16	8.96	0.75
16	13.04	0.75
17	4.23	22.91
17	5.24	11.60
17	6.02	24.08
17	7.21	2.35
17	10.28	0.29
18	4.23	15.31
18	5.24	3.80
18	6.02	15.72
18	7.21	4.83
18	8.08	0.10
18	8.96	0.41
18	10.28	1.34
18	11.30	0.10
18	13.04	2.06
19	4.23	24.15
19	5.24	9.41
19	6.02	8.05
19	7.21	1.25
19	10.28	0.06
19	13.04	0.62
20	4.23	24.90
20	5.24	3.00
20	6.02	12.52
20	7.21	4.30
20	8.08	0.13
20	10.28	0.13
21	4.23	7.53
21	5.24	0.31
21	6.02	4.56
21	8.08	1.16
21	8.96	1.16
21	10.28	0.08
21	11.30	0.08
21	12.32	0.08
21	13.04	4.02
22	4.23	15.75
22	5.24	1.53
22	6.02	9.41
22	7.21	4.16
22	8.96	0.44
