tratto	data	cambiamento
22	2009-07-08	0.02
23	2009-07-08	0.12
1	2010-09-29	0.667
2	2010-09-29	0.366
3	2010-09-29	0.69
4	2010-09-29	0.202
5	2010-09-29	0.274
6	2010-09-29	0.75
7	2010-09-29	0.252
8	2010-09-29	0.296
9	2010-09-29	nan
10	2010-09-29	0.321
11	2010-09-29	0.242
12	2010-09-29	0.438
13	2010-09-29	0.44
14	2010-09-29	0.639
15	2010-09-29	0.243
16	2010-09-29	0.517
17	2010-09-29	0.263
18	2010-09-29	0.16
19	2010-09-29	0.465
20	2010-09-29	0.479
21	2010-09-29	0.199
22	2010-09-29	0.234
23	2010-09-29	0.065
1	2011-10-02	0.18
2	2011-10-02	0.139
3	2011-10-02	0.195
4	2011-10-02	0.217
5	2011-10-02	0.289
6	2011-10-02	0.716
7	2011-10-02	0.103
8	2011-10-02	0.137
9	2011-10-02	nan
10	2011-10-02	0.153
11	2011-10-02	0.124
12	2011-10-02	0.141
13	2011-10-02	0.175
14	2011-10-02	0.085
15	2011-10-02	0.067
16	2011-10-02	0.116
17	2011-10-02	0.052
18	2011-10-02	0.096
19	2011-10-02	0.037
20	2011-10-02	0.081
21	2011-10-02	0.074
22	2011-10-02	0.135
23	2011-10-02	0.3
1	2012-08-01	0.784
2	2012-08-01	1.883
3	2012-08-01	1.484
4	2012-08-01	0.726
5	2012-08-01	0.92
6	2012-08-01	1.406
7	2012-08-01	0.623
8	2012-08-01	0.997
9	2012-08-01	nan
10	2012-08-01	0.858
11	2012-08-01	0.339
12	2012-08-01	0.622
13	2012-08-01	0.696
14	2012-08-01	0.504
15	2012-08-01	0.245
16	2012-08-01	0.423
17	2012-08-01	1.473
18	2012-08-01	0.921
19	2012-08-01	0.496
20	2012-08-01	0.624
21	2012-08-01	0.574
22	2012-08-01	0.655
23	2012-08-01	0.667
1	2013-09-05	0.134
2	2013-09-05	0.039
3	2013-09-05	0.103
4	2013-09-05	0.066
5	2013-09-05	0.172
6	2013-09-05	0.045
7	2013-09-05	0.019
8	2013-09-05	0.034
9	2013-09-05	nan
10	2013-09-05	0.006
11	2013-09-05	0.01
12	2013-09-05	0.019
13	2013-09-05	0.023
14	2013-09-05	0.044
15	2013-09-05	0.036
16	2013-09-05	0.032
17	2013-09-05	0.068
18	2013-09-05	0.064
19	2013-09-05	0.018
20	2013-09-05	0.025
21	2013-09-05	0.046
22	2013-09-05	0.101
23	2013-09-05	1.429
1	2014-09-08	0.915
2	2014-09-08	0.904
3	2014-09-08	0.993
4	2014-09-08	0.708
5	2014-09-08	0.702
6	2014-09-08	1.495
7	2014-09-08	0.265
8	2014-09-08	0.443
9	2014-09-08	nan
10	2014-09-08	0.466
11	2014-09-08	0.142
12	2014-09-08	0.138
13	2014-09-08	0.158
14	2014-09-08	0.161
15	2014-09-08	0.079
16	2014-09-08	0.115
17	2014-09-08	0.253
18	2014-09-08	0.227
19	2014-09-08	0.136
20	2014-09-08	0.132
21	2014-09-08	0.167
22	2014-09-08	0.081
23	2014-09-08	3.167
1	2014-10-31	nan
2	2014-10-31	nan
3	2014-10-31	nan
4	2014-10-31	nan
5	2014-10-31	nan
6	2014-10-31	0.157
7	2014-10-31	0.04
8	2014-10-31	0.04
9	2014-10-31	nan
10	2014-10-31	0.018
11	2014-10-31	0.013
12	2014-10-31	0.069
13	2014-10-31	0.026
14	2014-10-31	0.014
15	2014-10-31	nan
16	2014-10-31	nan
17	2014-10-31	nan
18	2014-10-31	nan
19	2014-10-31	nan
20	2014-10-31	nan
21	2014-10-31	nan
22	2014-10-31	nan
23	2014-10-31	nan
1	2015-08-13	nan
2	2015-08-13	nan
3	2015-08-13	nan
4	2015-08-13	nan
5	2015-08-13	nan
6	2015-08-13	0.535
7	2015-08-13	0.392
8	2015-08-13	0.46
9	2015-08-13	nan
10	2015-08-13	0.333
11	2015-08-13	0.35
12	2015-08-13	0.906
13	2015-08-13	0.48
14	2015-08-13	0.346
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	0.342
2	2015-09-12	0.1
3	2015-09-12	0.364
4	2015-09-12	0.286
5	2015-09-12	0.278
6	2015-09-12	0.129
7	2015-09-12	0.144
8	2015-09-12	0.198
9	2015-09-12	nan
10	2015-09-12	0.215
11	2015-09-12	0.146
12	2015-09-12	0.178
13	2015-09-12	0.098
14	2015-09-12	0.164
15	2015-09-12	0.408
