tratto	data	rapp_isl
17	2008-07-05	0.100781545
18	2008-07-05	0.13731953
19	2008-07-05	0.217062875
20	2008-07-05	0.20736755
21	2008-07-05	0.324120834
22	2008-07-05	0.250385208
23	2008-07-05	0.047588832
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	0.00742212
4	2009-07-08	0.041520877
5	2009-07-08	0.026568331
6	2009-07-08	0.006738544
7	2009-07-08	0.089220602
8	2009-07-08	0.047418889
9	2009-07-08	nan
10	2009-07-08	0.136746143
11	2009-07-08	0.201598579
12	2009-07-08	0.029820261
13	2009-07-08	0.035356133
14	2009-07-08	0.066220391
15	2009-07-08	0.073876896
16	2009-07-08	0.036469126
17	2009-07-08	0.044106653
18	2009-07-08	0.056391651
19	2009-07-08	0.143706105
20	2009-07-08	0.085075608
21	2009-07-08	0.20620438
22	2009-07-08	0.085376456
23	2009-07-08	0.015107212
1	2010-09-29	0.038767274
2	2010-09-29	0.036734292
3	2010-09-29	0.012156176
4	2010-09-29	0.040528022
5	2010-09-29	0.023963788
6	2010-09-29	0.010647837
7	2010-09-29	0.097956388
8	2010-09-29	0.050583148
9	2010-09-29	nan
10	2010-09-29	0.159853888
11	2010-09-29	0.23690441
12	2010-09-29	0.031591738
13	2010-09-29	0.045789875
14	2010-09-29	0.10435326
15	2010-09-29	0.085314685
16	2010-09-29	0.045377004
17	2010-09-29	0.043306127
18	2010-09-29	0.042855884
19	2010-09-29	0.189555126
20	2010-09-29	0.102157698
21	2010-09-29	0.21956798
22	2010-09-29	0.079993375
23	2010-09-29	0.004750594
1	2011-10-02	0.028361976
2	2011-10-02	0.022401086
3	2011-10-02	0.009829281
4	2011-10-02	0.039838748
5	2011-10-02	0.025524724
6	2011-10-02	0.017206927
7	2011-10-02	0.082185544
8	2011-10-02	0.041629422
9	2011-10-02	nan
10	2011-10-02	0.166260021
11	2011-10-02	0.232911392
12	2011-10-02	0.015114379
13	2011-10-02	0.046356784
14	2011-10-02	0.08673206
15	2011-10-02	0.069705287
16	2011-10-02	0.033199733
17	2011-10-02	0.019951597
18	2011-10-02	0.027606449
19	2011-10-02	0.111355311
20	2011-10-02	0.063534848
21	2011-10-02	0.190436728
22	2011-10-02	0.064863995
23	2011-10-02	0.002635046
1	2012-08-01	0.032258065
2	2012-08-01	0.063993351
3	2012-08-01	0.024362071
4	2012-08-01	0.055664541
5	2012-08-01	0.04181058
6	2012-08-01	0.040090344
7	2012-08-01	0.126821815
8	2012-08-01	0.0798249
9	2012-08-01	nan
10	2012-08-01	0.311510032
11	2012-08-01	0.300804036
12	2012-08-01	0.022212909
13	2012-08-01	0.077021658
14	2012-08-01	0.119764957
15	2012-08-01	0.07966076
16	2012-08-01	0.044218152
17	2012-08-01	0.047511035
18	2012-08-01	0.05082291
19	2012-08-01	0.168559794
20	2012-08-01	0.100200669
21	2012-08-01	0.307456409
22	2012-08-01	0.104302019
23	2012-08-01	0.003895381
1	2013-09-05	0.014984127
2	2013-09-05	0.031761689
3	2013-09-05	0.015278208
4	2013-09-05	0.025280229
5	2013-09-05	0.02681108
6	2013-09-05	0.019699102
7	2013-09-05	0.074563904
8	2013-09-05	0.050990786
9	2013-09-05	nan
10	2013-09-05	0.218011127
11	2013-09-05	0.251413725
12	2013-09-05	0.011745646
13	2013-09-05	0.051568381
14	2013-09-05	0.097548031
15	2013-09-05	0.057024976
16	2013-09-05	0.025742707
17	2013-09-05	0.029249682
18	2013-09-05	0.031036703
19	2013-09-05	0.124496288
20	2013-09-05	0.056824147
21	2013-09-05	0.270645326
22	2013-09-05	0.080020562
23	2013-09-05	0.00610687
1	2014-09-08	0.024993423
2	2014-09-08	0.05841334
3	2014-09-08	0.028971766
4	2014-09-08	0.037433155
5	2014-09-08	0.040500671
6	2014-09-08	0.046742057
7	2014-09-08	0.079572856
8	2014-09-08	0.067002086
9	2014-09-08	nan
10	2014-09-08	0.315217391
11	2014-09-08	0.281293517
12	2014-09-08	0.011328125
13	2014-09-08	0.05340838
14	2014-09-08	0.090473146
15	2014-09-08	0.044364332
16	2014-09-08	0.02021411
17	2014-09-08	0.028600552
18	2014-09-08	0.025191259
19	2014-09-08	0.120851064
