Tratto	Eta	Perc_erosa_su_tot_isole
1	4.01	4.79
1	5.02	6.59
1	6.95	0.60
1	7.96	0.60
2	4.01	1.68
2	5.02	8.17
2	6.12	0.24
2	6.95	1.92
2	7.96	0.24
2	10.19	0.96
2	10.98	2.88
2	13.92	1.20
2	17.99	0.24
3	4.01	3.82
3	5.02	5.59
3	6.12	0.29
3	6.95	2.35
3	7.96	0.29
3	10.98	0.29
4	4.01	2.88
4	5.02	6.47
5	4.01	0.97
5	5.02	4.84
5	6.95	2.90
5	7.96	0.19
5	9.18	0.19
5	10.19	0.39
5	10.98	0.39
5	13.92	0.19
6	3.08	1.06
6	3.87	3.72
6	4.01	0.80
6	5.02	1.86
6	6.95	1.33
6	9.18	0.27
6	10.98	0.27
6	13.92	0.27
7	3.08	0.67
7	3.87	1.83
7	5.02	0.67
7	6.95	0.33
7	10.98	0.33
7	13.92	0.33
7	17.99	0.67
8	3.08	0.83
8	3.87	3.53
8	4.01	0.21
8	5.02	0.41
8	6.12	0.21
8	6.95	0.21
8	7.96	0.41
8	9.18	0.62
8	10.98	0.41
8	13.92	0.21
9	3.08	0.68
9	3.87	0.78
9	5.02	0.29
9	10.98	0.87
9	13.92	0.68
9	17.99	0.10
10	3.08	0.85
10	3.87	2.78
10	5.02	0.97
10	6.12	0.06
10	6.95	0.85
10	9.18	0.79
10	10.19	0.12
10	10.98	1.21
11	3.08	1.26
11	3.87	3.37
11	5.02	0.63
11	6.12	0.23
11	6.95	0.74
11	7.96	0.06
11	9.18	0.34
11	10.19	0.06
11	10.98	0.57
11	12.16	0.11
11	13.04	0.11
11	13.92	0.40
11	17.99	0.40
12	3.87	5.88
12	10.98	2.94
13	3.08	0.84
13	3.87	4.47
13	5.02	0.28
13	6.95	0.56
13	9.18	0.84
13	10.98	0.56
13	13.92	0.56
14	3.08	1.65
14	3.87	5.65
14	4.01	0.14
14	6.95	0.83
14	7.96	0.14
14	9.18	1.10
14	10.19	0.28
14	12.16	0.28
15	4.01	2.73
15	5.02	0.30
15	7.96	0.15
15	9.18	0.30
15	10.19	0.15
15	10.98	1.06
15	12.16	0.46
15	13.04	0.15
15	15.23	0.15
15	17.99	0.76
16	4.01	0.93
16	5.02	0.93
16	6.95	0.31
16	7.96	0.62
16	9.18	0.31
16	10.98	0.31
16	17.99	0.31
17	4.01	1.01
17	5.02	1.35
17	6.12	0.17
17	6.95	2.02
18	4.01	0.76
18	5.02	2.89
18	6.12	0.46
18	6.95	0.61
18	10.19	0.15
18	10.98	0.30
18	12.16	0.46
18	17.99	0.46
19	4.01	0.87
19	5.02	0.96
19	6.12	0.09
19	6.95	1.13
19	7.96	0.09
19	9.18	0.09
19	10.19	0.09
19	10.98	0.26
19	12.16	0.35
20	5.02	1.94
20	6.95	1.94
20	10.19	0.32
21	4.01	0.88
21	5.02	1.29
21	6.12	0.44
21	6.95	1.29
21	7.96	0.06
21	9.18	0.13
21	10.98	0.60
21	13.04	0.19
21	17.99	0.41
22	4.01	10.15
22	5.02	1.54
22	6.12	0.62
22	6.95	3.38
22	10.19	0.31
22	10.98	2.77
22	12.16	1.54
