tratto	data	cambiamento
14	2008-07-05	0.085
15	2008-07-05	0.034
16	2008-07-05	0.081
17	2008-07-05	0.124
18	2008-07-05	0.097
19	2008-07-05	0.096
20	2008-07-05	0.109
21	2008-07-05	0.103
22	2008-07-05	0.045
23	2008-07-05	0.038
1	2009-07-08	nan
2	2009-07-08	nan
3	2009-07-08	0.375
4	2009-07-08	0.25
5	2009-07-08	0.529
6	2009-07-08	0.693
7	2009-07-08	0.268
8	2009-07-08	0.331
9	2009-07-08	nan
10	2009-07-08	0.331
11	2009-07-08	0.314
12	2009-07-08	0.689
13	2009-07-08	0.57
14	2009-07-08	0.446
15	2009-07-08	0.436
16	2009-07-08	0.68
17	2009-07-08	0.671
18	2009-07-08	0.635
19	2009-07-08	0.467
20	2009-07-08	0.641
21	2009-07-08	0.362
22	2009-07-08	0.633
23	2009-07-08	0.813
1	2010-09-29	0.348
2	2010-09-29	0.481
3	2010-09-29	0.239
4	2010-09-29	0.146
5	2010-09-29	0.231
6	2010-09-29	0.15
7	2010-09-29	0.152
8	2010-09-29	0.163
9	2010-09-29	nan
10	2010-09-29	0.142
11	2010-09-29	0.084
12	2010-09-29	0.37
13	2010-09-29	0.127
14	2010-09-29	0.061
15	2010-09-29	0.092
16	2010-09-29	0.259
17	2010-09-29	0.301
18	2010-09-29	0.38
19	2010-09-29	0.139
20	2010-09-29	0.223
21	2010-09-29	0.107
22	2010-09-29	0.297
23	2010-09-29	0.226
1	2011-10-02	0.454
2	2011-10-02	0.501
3	2011-10-02	0.398
4	2011-10-02	0.126
5	2011-10-02	0.222
6	2011-10-02	0.158
7	2011-10-02	0.261
8	2011-10-02	0.295
9	2011-10-02	nan
10	2011-10-02	0.115
11	2011-10-02	0.141
12	2011-10-02	0.667
13	2011-10-02	0.15
14	2011-10-02	0.255
15	2011-10-02	0.239
16	2011-10-02	0.37
17	2011-10-02	0.613
18	2011-10-02	0.437
19	2011-10-02	0.435
20	2011-10-02	0.45
21	2011-10-02	0.191
22	2011-10-02	0.298
23	2011-10-02	0.7
1	2012-08-01	0.072
2	2012-08-01	0.048
3	2012-08-01	0.053
4	2012-08-01	0.006
5	2012-08-01	0.035
6	2012-08-01	0.032
7	2012-08-01	0.091
8	2012-08-01	0.061
9	2012-08-01	nan
10	2012-08-01	0.013
11	2012-08-01	0.056
12	2012-08-01	0.054
13	2012-08-01	0.051
14	2012-08-01	0.01
15	2012-08-01	0.027
16	2012-08-01	0.119
17	2012-08-01	0.089
18	2012-08-01	0.052
19	2012-08-01	0.018
20	2012-08-01	0.016
21	2012-08-01	0.023
22	2012-08-01	0.037
23	2012-08-01	0.0
1	2013-09-05	0.619
2	2013-09-05	0.526
3	2013-09-05	0.483
4	2013-09-05	0.604
5	2013-09-05	0.515
6	2013-09-05	0.538
7	2013-09-05	0.413
8	2013-09-05	0.382
9	2013-09-05	nan
10	2013-09-05	0.298
11	2013-09-05	0.162
12	2013-09-05	0.472
13	2013-09-05	0.339
14	2013-09-05	0.224
15	2013-09-05	0.301
16	2013-09-05	0.444
17	2013-09-05	0.396
18	2013-09-05	0.44
19	2013-09-05	0.271
20	2013-09-05	0.453
21	2013-09-05	0.14
22	2013-09-05	0.325
23	2013-09-05	0.571
1	2014-09-08	0.119
2	2014-09-08	0.087
3	2014-09-08	0.101
4	2014-09-08	0.245
5	2014-09-08	0.202
6	2014-09-08	0.11
7	2014-09-08	0.182
8	2014-09-08	0.094
9	2014-09-08	nan
10	2014-09-08	0.03
11	2014-09-08	0.037
12	2014-09-08	0.138
13	2014-09-08	0.119
14	2014-09-08	0.237
15	2014-09-08	0.295
16	2014-09-08	0.321
17	2014-09-08	0.201
18	2014-09-08	0.402
19	2014-09-08	0.169
20	2014-09-08	0.531
21	2014-09-08	0.109
22	2014-09-08	0.448
23	2014-09-08	0.667
1	2014-10-31	nan
2	2014-10-31	nan
3	2014-10-31	nan
4	2014-10-31	nan
5	2014-10-31	nan
6	2014-10-31	0.555
7	2014-10-31	0.333
8	2014-10-31	0.363
9	2014-10-31	nan
10	2014-10-31	0.356
11	2014-10-31	0.283
12	2014-10-31	0.379
13	2014-10-31	0.33
14	2014-10-31	0.319
15	2014-10-31	nan
16	2014-10-31	nan
17	2014-10-31	nan
18	2014-10-31	nan
19	2014-10-31	nan
20	2014-10-31	nan
21	2014-10-31	nan
22	2014-10-31	nan
23	2014-10-31	nan
1	2015-08-13	nan
2	2015-08-13	nan
3	2015-08-13	nan
4	2015-08-13	nan
5	2015-08-13	nan
6	2015-08-13	0.152
7	2015-08-13	0.098
8	2015-08-13	0.092
9	2015-08-13	nan
10	2015-08-13	0.059
11	2015-08-13	0.052
12	2015-08-13	0.164
13	2015-08-13	0.203
14	2015-08-13	0.156
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	0.463
2	2015-09-12	0.377
3	2015-09-12	0.127
4	2015-09-12	0.37
5	2015-09-12	0.137
6	2015-09-12	0.238
7	2015-09-12	0.205
8	2015-09-12	0.218
9	2015-09-12	nan
10	2015-09-12	0.185
11	2015-09-12	0.088
12	2015-09-12	0.263
13	2015-09-12	0.136
14	2015-09-12	0.122
15	2015-09-12	0.313
16	2015-09-12	0.391
17	2015-09-12	0.245
18	2015-09-12	0.235
19	2015-09-12	0.141
20	2015-09-12	0.196
21	2015-09-12	0.12
22	2015-09-12	0.313
23	2015-09-12	0.846
1	2015-10-22	0.286
2	2015-10-22	0.438
3	2015-10-22	0.271
4	2015-10-22	0.206
5	2015-10-22	0.198
6	2015-10-22	0.213
7	2015-10-22	0.092
8	2015-10-22	0.099
9	2015-10-22	nan
10	2015-10-22	0.103
11	2015-10-22	0.114
12	2015-10-22	0.247
13	2015-10-22	0.118
14	2015-10-22	0.141
15	2015-10-22	0.225
16	2015-10-22	0.14
17	2015-10-22	0.152
18	2015-10-22	0.136
19	2015-10-22	0.09
20	2015-10-22	0.174
21	2015-10-22	0.093
22	2015-10-22	0.352
23	2015-10-22	0.907
1	2016-09-13	0.159
2	2016-09-13	0.121
3	2016-09-13	0.152
4	2016-09-13	0.29
5	2016-09-13	0.314
6	2016-09-13	0.337
7	2016-09-13	0.151
8	2016-09-13	0.201
9	2016-09-13	nan
10	2016-09-13	0.121
11	2016-09-13	0.069
12	2016-09-13	0.323
