Tratto	Eta	Perc_erosa_su_tot_isole
1	3.11	4.44
1	4.12	0.44
1	5.13	2.22
2	3.11	0.53
2	5.13	5.85
2	10.30	0.53
2	14.03	0.53
3	3.11	1.45
3	5.13	2.42
3	7.06	0.48
3	8.07	0.48
3	11.09	0.48
4	4.12	4.71
4	5.13	3.53
4	7.06	3.53
4	9.29	1.18
4	10.30	1.18
4	11.09	3.53
5	3.11	1.29
5	4.12	1.29
5	5.13	10.36
5	6.22	0.65
5	7.06	3.88
5	8.07	0.97
5	9.29	0.32
5	11.09	1.29
5	12.27	0.97
5	14.03	0.32
6	3.11	3.93
6	3.19	0.91
6	3.98	4.23
6	5.13	3.32
6	7.06	0.30
6	8.07	0.30
7	3.11	1.84
7	3.19	0.50
7	3.98	2.35
7	5.13	0.67
7	7.06	0.84
7	9.29	0.17
7	11.09	0.17
7	13.15	0.50
7	14.03	1.01
8	3.11	2.77
8	3.19	1.07
8	3.98	3.20
8	5.13	0.43
8	6.22	0.21
8	7.06	1.49
8	8.07	0.21
8	9.29	1.28
8	11.09	0.85
8	13.15	0.21
8	14.03	1.28
9	3.11	1.09
9	3.19	0.10
9	3.98	1.19
9	7.06	0.10
9	11.09	0.20
9	12.27	0.10
9	13.15	0.10
9	14.03	2.18
9	18.10	0.89
10	3.11	5.43
10	3.19	0.19
10	3.98	1.64
10	5.13	0.13
10	6.22	0.06
10	7.06	0.63
10	8.07	0.25
10	9.29	0.32
10	11.09	0.51
10	14.03	0.06
11	3.11	1.77
11	3.98	2.14
11	6.22	0.06
11	7.06	0.25
11	8.07	0.32
11	9.29	0.06
11	11.09	0.32
12	3.11	4.17
12	3.98	8.33
12	9.29	4.17
12	11.09	4.17
12	12.27	16.67
13	3.11	2.18
13	3.98	3.12
13	6.22	0.31
13	7.06	1.87
13	8.07	0.31
13	9.29	0.31
13	10.30	0.31
13	12.27	0.31
14	3.11	1.89
14	3.19	0.31
14	3.98	3.30
14	7.06	1.42
14	8.07	0.31
14	9.29	0.31
14	11.09	0.16
14	12.27	0.63
14	15.34	0.16
14	16.37	0.16
14	18.10	0.47
15	3.11	2.48
15	4.12	1.24
15	5.13	0.25
15	6.22	0.25
15	7.06	0.25
15	8.07	0.50
15	9.29	1.24
15	11.09	0.74
15	12.27	0.25
15	18.10	6.45
16	3.11	5.79
16	5.13	0.39
16	7.06	1.54
16	8.07	1.16
16	9.29	0.77
16	10.30	0.39
16	11.09	1.93
16	12.27	0.77
16	13.15	0.39
16	18.10	2.32
17	3.11	5.16
17	4.12	0.49
17	5.13	1.72
17	6.22	0.25
17	7.06	3.44
17	9.29	0.25
18	3.11	7.55
18	4.12	0.42
18	5.13	1.26
18	6.22	0.84
18	7.06	2.52
18	8.07	0.42
18	9.29	0.63
18	10.30	0.21
18	11.09	0.63
18	12.27	0.42
18	15.34	0.21
19	3.11	2.02
19	4.12	0.21
19	5.13	0.85
19	6.22	0.11
19	7.06	1.06
19	9.29	0.21
19	10.30	0.32
19	11.09	1.60
19	12.27	0.96
19	14.03	0.11
19	15.34	0.21
19	18.10	0.21
20	3.11	2.99
20	5.13	1.00
20	7.06	1.99
20	8.07	0.50
20	10.30	1.49
20	14.03	0.50
21	3.11	0.70
21	4.12	0.11
21	5.13	0.18
21	6.22	0.07
21	7.06	0.85
21	8.07	0.07
21	9.29	0.07
21	10.30	0.04
21	11.09	0.26
21	13.15	0.07
21	14.03	0.07
21	16.37	0.04
21	18.10	0.07
22	4.12	0.58
22	8.07	1.74
22	10.30	0.58
22	11.09	1.16
22	17.38	0.58
