tratto	data	cambiamento
20	2015-09-12	0.182
21	2015-09-12	0.085
22	2015-09-12	0.356
23	2015-09-12	0.0
1	2015-10-22	0.265
2	2015-10-22	0.371
3	2015-10-22	0.26
4	2015-10-22	0.296
5	2015-10-22	0.215
6	2015-10-22	0.215
7	2015-10-22	0.156
8	2015-10-22	0.083
9	2015-10-22	nan
10	2015-10-22	0.117
11	2015-10-22	0.183
12	2015-10-22	0.0
13	2015-10-22	0.11
14	2015-10-22	0.102
15	2015-10-22	0.19
16	2015-10-22	0.396
17	2015-10-22	0.234
18	2015-10-22	0.182
19	2015-10-22	0.208
20	2015-10-22	0.376
21	2015-10-22	0.127
22	2015-10-22	0.361
23	2015-10-22	0.0
1	2016-09-13	0.215
2	2016-09-13	0.123
3	2016-09-13	0.136
4	2016-09-13	0.293
5	2016-09-13	0.223
6	2016-09-13	0.299
7	2016-09-13	0.288
8	2016-09-13	0.18
9	2016-09-13	nan
10	2016-09-13	0.078
11	2016-09-13	0.071
12	2016-09-13	nan
13	2016-09-13	0.382
14	2016-09-13	0.152
15	2016-09-13	0.152
16	2016-09-13	0.313
17	2016-09-13	0.202
18	2016-09-13	0.182
19	2016-09-13	0.179
20	2016-09-13	0.169
21	2016-09-13	0.055
22	2016-09-13	0.0
23	2016-09-13	nan
1	2017-04-21	0.0
2	2017-04-21	0.0
3	2017-04-21	0.106
4	2017-04-21	0.0
5	2017-04-21	0.09
6	2017-04-21	0.231
7	2017-04-21	0.0
8	2017-04-21	0.0
9	2017-04-21	nan
10	2017-04-21	0.088
11	2017-04-21	0.02
12	2017-04-21	nan
13	2017-04-21	0.0
14	2017-04-21	0.064
15	2017-04-21	0.0
16	2017-04-21	0.0
17	2017-04-21	0.106
18	2017-04-21	0.13
19	2017-04-21	0.0
20	2017-04-21	0.0
21	2017-04-21	0.04
22	2017-04-21	0.0
23	2017-04-21	nan
1	2017-06-13	0.055
2	2017-06-13	0.0
3	2017-06-13	0.115
4	2017-06-13	0.0
5	2017-06-13	0.111
6	2017-06-13	0.107
7	2017-06-13	0.026
8	2017-06-13	0.022
9	2017-06-13	nan
10	2017-06-13	0.004
11	2017-06-13	0.0
12	2017-06-13	0.96
13	2017-06-13	0.022
14	2017-06-13	0.107
15	2017-06-13	0.0
16	2017-06-13	nan
17	2017-06-13	0.13
18	2017-06-13	0.401
19	2017-06-13	0.0
20	2017-06-13	0.0
21	2017-06-13	0.187
22	2017-06-13	0.0
23	2017-06-13	nan
1	2018-06-15	nan
2	2018-06-15	nan
