tr_anni	picchi
0.100987369	1.02
0.101088559	1.02
0.101189952	1.02
0.101291548	1.02
0.101393349	1.02
0.101495354	1.02
0.101597565	1.02
0.101699982	1.02
0.101802605	1.02
0.101905436	1.0201
0.102008475	1.02211
0.102111723	1.02412
0.102215179	1.02613
0.102318846	1.02814
0.102422723	1.03015
0.102526811	1.03216
0.102631111	1.03417
0.102735623	1.03618
0.102840349	1.03819
0.102945288	1.04
0.103050441	1.04
0.10315581	1.04
0.103261394	1.04
0.103367195	1.04
0.103473212	1.04
0.103579448	1.04
0.103685901	1.04
0.103792574	1.04
0.103899466	1.04
0.104006579	1.04
0.104113913	1.04
0.104221469	1.04
0.104329247	1.04
0.104437248	1.04
0.104545474	1.04
0.104653923	1.04
0.104762598	1.04
0.104871499	1.04
0.104980626	1.04
0.105089981	1.0404
0.105199564	1.04241
0.105309376	1.04442
0.105419417	1.04643
0.105529688	1.04844
0.105640191	1.05
0.105750924	1.05
0.105861891	1.05
0.10597309	1.05
0.106084524	1.05
0.106196192	1.0505
0.106308095	1.05251
0.106420234	1.05452
0.10653261	1.05653
0.106645224	1.05854
0.106758076	1.06
0.106871167	1.06
0.106984498	1.06
0.10709807	1.06
0.107211883	1.06
0.107325938	1.0606
0.107440236	1.06261
0.107554778	1.06462
0.107669565	1.06663
0.107784596	1.06864
0.107899874	1.07
0.108015398	1.07
0.10813117	1.07
0.108247191	1.07
0.108363461	1.07
0.108479981	1.07
0.108596751	1.07
0.108713774	1.07
0.108831048	1.07
0.108948577	1.07
0.109066359	1.07075
0.109184396	1.07276
0.109302689	1.07477
0.109421239	1.07678
0.109540046	1.07879
0.109659111	1.08
0.109778435	1.08
0.10989802	1.08
0.110017865	1.08
0.110137972	1.08
0.110258341	1.08
0.110378974	1.08
0.110499871	1.08
0.110621033	1.08
0.110742461	1.08
0.110864156	1.0809
0.110986119	1.08291
0.11110835	1.08492
0.111230851	1.08693
0.111353622	1.08894
0.111476665	1.09
0.11159998	1.09
0.111723568	1.09
0.11184743	1.09
0.111971567	1.09
0.11209598	1.092
0.11222067	1.09602
0.112345637	1.10004
0.112470883	1.10406
0.112596408	1.10808
0.112722214	1.11105
0.112848302	1.11306
0.112974672	1.11507
0.113101325	1.11708
0.113228263	1.11909
0.113355485	1.12
0.113482994	1.12
0.11361079	1.12
0.113738875	1.12
0.113867248	1.12
0.113995912	1.12
0.114124866	1.12
0.114254113	1.12
0.114383653	1.12
0.114513487	1.12
0.114643616	1.12
0.114774041	1.12
0.114904763	1.12
0.115035783	1.12
0.115167103	1.12
0.115298722	1.12125
0.115430643	1.12326
0.115562866	1.12527
0.115695392	1.12728
0.115828223	1.12929
0.115961359	1.13
0.116094801	1.13
0.116228551	1.13
0.116362609	1.13
0.116496977	1.13
0.116631655	1.13
0.116766646	1.13
0.116901949	1.13
0.117037566	1.13
0.117173498	1.13
0.117309746	1.1328
0.117446312	1.13682
0.117583196	1.14084
0.117720399	1.14486
0.117857923	1.14888
0.117995768	1.15
0.118133937	1.15
0.118272429	1.15
0.118411246	1.15
0.11855039	1.15
0.118689861	1.15
0.118829661	1.15
0.11896979	1.15
0.11911025	1.15
0.119251042	1.15
0.119392168	1.15155
0.119533628	1.15356
0.119675423	1.15557
0.119817556	1.15758
0.119960026	1.15959
0.120102836	1.1616
0.120245986	1.16361
0.120389477	1.16562
0.120533312	1.16763
0.12067749	1.16964
0.120822014	1.17165
0.120966885	1.17366
0.121112103	1.17567
0.121257671	1.17768
0.121403588	1.17969
0.121549858	1.18
0.12169648	1.18
0.121843456	1.18
0.121990788	1.18
0.122138477	1.18
0.122286524	1.18
0.12243493	1.18
0.122583696	1.18
0.122732825	1.18
0.122882317	1.18
0.123032173	1.1818
0.123182396	1.18381
0.123332985	1.18582
0.123483944	1.18783
0.123635272	1.18984
0.123786972	1.19
0.123939044	1.19
0.124091491	1.19
0.124244313	1.19
0.124397512	1.19
0.124551089	1.19
0.124705046	1.19
0.124859384	1.19
0.125014104	1.19
0.125169208	1.19
0.125324698	1.19
0.125480575	1.19
0.125636839	1.19
0.125793494	1.19
0.125950539	1.19
0.126107977	1.196
0.12626581	1.20203
0.126424038	1.20806
0.126582662	1.21409
0.126741686	1.22
0.126901109	1.22
