om_tr_1	area_tr_1	om_tr_2	area_tr_2	om_tr_3	area_tr_3	om_tr_4	area_tr_4	om_tr_5	area_tr_5	om_tr_6	area_tr_6	om_tr_7	area_tr_7	om_tr_8	area_tr_8	om_tr_9	area_tr_9	om_tr_10	area_tr_10	om_tr_11	area_tr_11	om_tr_12	area_tr_12	om_tr_13	area_tr_13	om_tr_14	area_tr_14	om_tr_15	area_tr_15	om_tr_16	area_tr_16	om_tr_17	area_tr_17	om_tr_18	area_tr_18	om_tr_19	area_tr_19	om_tr_20	area_tr_20	om_tr_21	area_tr_21	om_tr_22	area_tr_22	om_tr_23	area_tr_23
0.0730827	26550	0.0621652	72450	0.098146	33300	0.103246	23850	0.0814288	67950	0.0584593	40950	0.0520258	147150	0.0464458	90900	nan	nan	0.0266573	282150	0.0371763	370125	0.0730092	6525	0.0714299	92475	0.0495079	206775	0.0432411	174150	0.0515177	86175	0.0371931	108675	0.0395396	162675	0.0441667	264150	0.051269	97425	0.0396666	715275	0.0553479	105075	0.12893	2700
0.0757072	42750	0.0636918	130050	0.100162	61875	0.105229	34650	0.082004	101925	0.0581697	97650	0.0523962	155925	0.0451577	122850	nan	nan	0.0268816	404550	0.0376365	409050	0.0704139	6525	0.0712066	96075	0.0497031	191025	0.0431806	135675	0.0509661	68400	0.0368251	107325	0.0389313	134100	0.0443077	255600	0.0505133	58500	0.038621	757350	0.0527967	66825	0.109343	8775
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0550337	136779	0.0508316	133280	0.0444737	90089.2	nan	nan	0.0257488	284596	0.0353954	299970	0.0653342	7563.75	0.0686837	77771.8	0.0473097	170111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0546167	187327	0.0509942	167636	0.0443887	122924	nan	nan	0.0262987	359818	0.0365972	384168	0.0663696	12924	0.0695361	96718	0.0484922	173407	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.067029	71700	0.0609874	75500	0.0976164	62800	0.102413	24300	0.0808292	88300	0.0562558	88900	0.0513898	141400	0.0444815	110300	nan	nan	0.026567	369500	0.0372643	394600	0.0665547	8500	0.069942	81300	0.04911	164600	0.0420356	119500	0.0498318	69300	0.0359491	108000	0.0379238	118600	0.0437083	227600	0.0488663	52200	0.0380767	659800	0.0515077	60000	0.104959	5400
0.0654999	59600	0.0582636	48900	0.0959611	51900	0.100875	20000	0.0797763	78400	0.0560611	82400	0.0512078	136800	0.0442438	110100	nan	nan	0.0263016	351700	0.0363172	361900	0.0644808	6500	0.0694189	72900	0.0486726	143800	0.0414095	94800	0.0493456	63800	0.0357704	99000	0.0376612	114300	0.0434006	213900	0.0483609	47900	0.0371077	626400	0.0499707	46100	0.0970264	2100
0.0680827	79200	0.0611584	82400	0.0978127	73100	0.102305	21100	0.0808799	91400	0.0563157	100800	0.0514439	146600	0.0444552	114500	nan	nan	0.0267627	374600	0.0372948	386900	0.0646555	8600	0.0698885	74900	0.0490342	152000	0.0413318	111900	0.0496253	73000	0.0357722	106000	0.0375813	122600	0.043453	205500	0.0482891	61600	0.0383455	660400	0.0524367	79800	0.103604	9300
0.0678189	92400	0.0615513	138200	0.0973321	62900	0.102198	17800	0.0807218	78300	0.0560069	75200	0.0514258	141300	0.0444671	112100	nan	nan	0.0265261	311700	0.0370574	359300	0.0643478	7100	0.0698504	72700	0.0488403	148000	0.0402742	96900	0.0491081	65700	0.0354747	96900	0.0374949	108400	0.0435823	212600	0.0481912	58900	0.0382128	621100	0.0515881	50200	0.0983319	4400
0.0681257	70700	0.061198	69200	0.0969439	60600	0.101559	16900	0.0798936	70700	0.055855	64300	0.0514181	140400	0.0443148	112900	nan	nan	0.0268356	372900	0.0372922	392400	0.0645424	3300	0.0695319	64700	0.0487903	129200	0.0403271	81300	0.0493852	52400	0.0354592	80600	0.0373672	75300	0.0435843	201600	0.0480463	50000	0.0381947	592100	0.0514894	59200	0.100872	4000
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0511479	185243	0.0440895	160539	nan	nan	0.026788	403981	0.0369121	401048	0.0641653	7869	0.0694868	82966.8	0.0495022	167330	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.0713423	95400	0.0642248	120500	0.0989438	86600	0.102694	29700	0.0807786	111700	0.0562714	139000	0.0515782	157900	0.0440719	136300	nan	nan	0.0270523	415900	0.037579	403400	0.0650914	8300	0.069581	74800	0.0495529	155000	0.0405325	91100	0.0496439	65900	0.0357223	133100	0.0374888	124400	0.0442658	247400	0.047931	129300	0.0387252	754500	0.0537514	124400	0.106131	21200
